 
****************************************
Report : timing
        -path full
        -delay max
        -max_paths 1
Design : Tradeoff_12bits
Version: U-2022.12-SP6
Date   : Wed Apr 30 18:52:17 2025
****************************************

Operating Conditions: WCCOM   Library: fsa0m_a_generic_core_ss1p62v125c
Wire Load Model Mode: enclosed

  Startpoint: W_new_reg_13_
              (rising edge-triggered flip-flop clocked by clk)
  Endpoint: N_reg_0_ (rising edge-triggered flip-flop clocked by clk)
  Path Group: clk
  Path Type: max

  Des/Clust/Port     Wire Load Model       Library
  div_118/U70/O (ND2S)                                    0.12      22.86 f
  div_118/u_div_u_add_PartRem_0_6_U8/C (HA1)              0.25      23.11 f
  div_118/U176/O (OR2)                                    0.22      23.33 f
  div_118/u_div_u_add_PartRem_0_6_U5/C (HA1)              0.21      23.54 f
  div_118/U14/C (HA1P)                                    0.19      23.73 f
  div_118/U52/O (OR2T)                                    0.29      24.03 f
  div_118/u_div_u_mx_PartRem_0_6_0/O (MUX2T)              0.38      24.40 f
  div_118/U11/O (OR2T)                                    0.18      24.59 f
  div_118/u_div_u_add_PartRem_0_5_U18/C (HA1)             0.22      24.80 f
  div_118/U183/O (OR2)                                    0.22      25.02 f
  div_118/u_div_u_add_PartRem_0_5_U15/C (HA1)             0.24      25.26 f
  div_118/U9/O (OR2T)                                     0.21      25.47 f
  div_118/U8/O (NR2F)                                     0.12      25.59 r
  div_118/U20/O (ND2P)                                    0.07      25.66 f
  div_118/u_div_u_add_PartRem_0_5_U8/C (HA1)              0.22      25.88 f
  div_118/U184/O (OR2)                                    0.22      26.10 f
  div_118/u_div_u_add_PartRem_0_5_U5/C (HA1)              0.21      26.31 f
  div_118/U43/C (HA1)                                     0.21      26.52 f
  div_118/U105/O (OR2T)                                   0.30      26.82 f
  div_118/u_div_u_mx_PartRem_0_5_0/O (MUX2)               0.36      27.18 f
  div_118/U192/O (OR2)                                    0.24      27.42 f
  div_118/u_div_u_add_PartRem_0_4_U18/C (HA1)             0.23      27.65 f
  div_118/U191/O (OR2)                                    0.22      27.87 f
  div_118/u_div_u_add_PartRem_0_4_U15/C (HA1)             0.23      28.10 f
  div_118/U31/O (OR2)                                     0.26      28.36 f
  div_118/U37/O (NR2P)                                    0.16      28.52 r
  div_118/U71/O (ND2S)                                    0.12      28.64 f
  div_118/u_div_u_add_PartRem_0_4_U8/C (HA1)              0.25      28.89 f
  div_118/U193/O (OR2)                                    0.22      29.11 f
  div_118/u_div_u_add_PartRem_0_4_U5/C (HA1)              0.21      29.32 f
  div_118/U18/C (HA1P)                                    0.19      29.51 f
  div_118/U53/O (OR2T)                                    0.29      29.80 f
  div_118/u_div_u_mx_PartRem_0_4_0/O (MUX2T)              0.38      30.18 f
  div_118/U19/O (OR2T)                                    0.18      30.36 f
  div_118/u_div_u_add_PartRem_0_3_U18/C (HA1)             0.22      30.58 f
  div_118/U200/O (OR2)                                    0.22      30.80 f
  div_118/u_div_u_add_PartRem_0_3_U15/C (HA1)             0.23      31.03 f
  div_118/U38/O (OR2)                                     0.26      31.29 f
  div_118/U40/O (NR2P)                                    0.16      31.45 r
  div_118/U72/O (ND2S)                                    0.12      31.57 f
  div_118/u_div_u_add_PartRem_0_3_U8/C (HA1)              0.25      31.82 f
  div_118/U201/O (OR2)                                    0.22      32.04 f
  div_118/u_div_u_add_PartRem_0_3_U5/C (HA1)              0.21      32.25 f
  div_118/U42/C (HA1)                                     0.21      32.46 f
  div_118/U106/O (OR2T)                                   0.30      32.76 f
  div_118/u_div_u_mx_PartRem_0_3_0/O (MUX2)               0.36      33.13 f
  div_118/U209/O (OR2)                                    0.24      33.36 f
  div_118/u_div_u_add_PartRem_0_2_U18/C (HA1)             0.23      33.59 f
  div_118/U208/O (OR2)                                    0.22      33.81 f
  div_118/u_div_u_add_PartRem_0_2_U15/C (HA1)             0.24      34.05 f
  div_118/U48/O (OR2T)                                    0.21      34.26 f
  div_118/U26/O (NR2F)                                    0.12      34.38 r
  div_118/U25/O (ND2P)                                    0.07      34.44 f
  div_118/u_div_u_add_PartRem_0_2_U8/C (HA1)              0.22      34.67 f
  div_118/U210/O (OR2)                                    0.22      34.89 f
  div_118/u_div_u_add_PartRem_0_2_U5/C (HA1)              0.21      35.10 f
  div_118/U15/C (HA1P)                                    0.19      35.29 f
  div_118/U54/O (OR2T)                                    0.29      35.58 f
  div_118/u_div_u_mx_PartRem_0_2_0/O (MUX2T)              0.38      35.96 f
  div_118/U3/O (OR2T)                                     0.18      36.14 f
  div_118/u_div_u_add_PartRem_0_1_U18/C (HA1)             0.22      36.36 f
  div_118/U217/O (OR2)                                    0.22      36.58 f
  div_118/u_div_u_add_PartRem_0_1_U15/C (HA1)             0.23      36.81 f
  div_118/U39/O (OR2)                                     0.26      37.07 f
  div_118/U41/O (NR2P)                                    0.16      37.23 r
  div_118/U59/O (ND2)                                     0.12      37.35 f
  div_118/u_div_u_add_PartRem_0_1_U8/C (HA1)              0.25      37.60 f
  div_118/U218/O (OR2)                                    0.22      37.82 f
  div_118/u_div_u_add_PartRem_0_1_U5/C (HA1)              0.21      38.03 f
  div_118/U60/C (HA1)                                     0.21      38.24 f
  div_118/U107/O (OR2T)                                   0.30      38.54 f
  div_118/u_div_u_mx_PartRem_0_1_0/O (MUX2S)              0.29      38.82 f
  div_118/U58/O (OA12)                                    0.26      39.08 f
  div_118/U98/O (OAI12HS)                                 0.19      39.27 r
  div_118/U220/O (OR3B2)                                  0.12      39.39 f
  div_118/U221/O (AO12)                                   0.28      39.67 f
  div_118/U222/O (AO13S)                                  0.41      40.08 f
  div_118/quotient[0] (Tradeoff_12bits_DW_div_uns_0)      0.00      40.08 f
  U221/O (AO222)                                          0.48      40.56 f
  N_reg_0_/D (QDFFRBN)                                    0.00      40.56 f
  data arrival time                                                 40.56

  clock clk (rise edge)                                  40.00      40.00
  clock network delay (ideal)                             1.00      41.00
  clock uncertainty                                      -0.30      40.70
  N_reg_0_/CK (QDFFRBN)                                   0.00      40.70 r
  library setup time                                     -0.11      40.59
  data required time                                                40.59
  --------------------------------------------------------------------------
  data required time                                                40.59
  data arrival time                                                -40.56
  --------------------------------------------------------------------------
  slack (MET)                                                        0.03


1
